country,year,sex,age_group,suicide_rates
Antigua and Barbuda,2019,Both sexes,15-19 years,0
Antigua and Barbuda,2019,Both sexes,15-24 years,0
Antigua and Barbuda,2019,Both sexes,15-29  years,0
Antigua and Barbuda,2019,Both sexes,25-34 years,0
Antigua and Barbuda,2019,Both sexes,30-49 years,0
Antigua and Barbuda,2019,Both sexes,35-44 years,0
Antigua and Barbuda,2019,Both sexes,45-54 years,0
Antigua and Barbuda,2019,Both sexes,65-74 years,0
Antigua and Barbuda,2019,Both sexes,75-84 years,0
Antigua and Barbuda,2019,Both sexes,85+ years,0
Antigua and Barbuda,2019,Female,15-19 years,0
Antigua and Barbuda,2019,Female,15-24 years,0
Antigua and Barbuda,2019,Female,15-29  years,0
Antigua and Barbuda,2019,Female,25-34 years,0
Antigua and Barbuda,2019,Female,30-49 years,0
Antigua and Barbuda,2019,Female,35-44 years,0
Antigua and Barbuda,2019,Female,45-54 years,0
Antigua and Barbuda,2019,Female,65-74 years,0
Antigua and Barbuda,2019,Female,75-84 years,0
Antigua and Barbuda,2019,Female,85+ years,0
Antigua and Barbuda,2019,Male,15-19 years,0
Antigua and Barbuda,2019,Male,15-24 years,0
Antigua and Barbuda,2019,Male,15-29  years,0
Antigua and Barbuda,2019,Male,25-34 years,0
Antigua and Barbuda,2019,Male,30-49 years,0
Antigua and Barbuda,2019,Male,35-44 years,0
Antigua and Barbuda,2019,Male,45-54 years,0
Antigua and Barbuda,2019,Male,55-64 years,0
Antigua and Barbuda,2019,Male,65-74 years,0
Antigua and Barbuda,2019,Male,75-84 years,0
Antigua and Barbuda,2019,Male,85+ years,0
Barbados,2019,Both sexes,15-19 years,0
Barbados,2019,Both sexes,15-24 years,0
Barbados,2019,Both sexes,15-29  years,0
Barbados,2019,Both sexes,25-34 years,0
Barbados,2019,Both sexes,55-64 years,0
Barbados,2019,Both sexes,65-74 years,0
Barbados,2019,Both sexes,85+ years,0
Barbados,2019,Female,15-19 years,0
Barbados,2019,Female,15-24 years,0
Barbados,2019,Female,15-29  years,0
Barbados,2019,Female,25-34 years,0
Barbados,2019,Female,30-49 years,0
Barbados,2019,Female,35-44 years,0
Barbados,2019,Female,45-54 years,0
Barbados,2019,Female,55-64 years,0
Barbados,2019,Female,65-74 years,0
Barbados,2019,Female,85+ years,0
Barbados,2019,Male,15-19 years,0
Barbados,2019,Male,15-24 years,0
Barbados,2019,Male,15-29  years,0
Barbados,2019,Male,25-34 years,0
Barbados,2019,Male,55-64 years,0
Barbados,2019,Male,65-74 years,0
Barbados,2019,Male,75-84 years,0
Barbados,2019,Male,85+ years,0
Brunei,2019,Both sexes,15-19 years,0
Brunei,2019,Both sexes,15-24 years,0
Brunei,2019,Both sexes,55-64 years,0
Brunei,2019,Both sexes,65-74 years,0
Brunei,2019,Female,15-19 years,0
Brunei,2019,Female,15-24 years,0
Brunei,2019,Female,15-29  years,0
Brunei,2019,Female,35-44 years,0
Brunei,2019,Female,55-64 years,0
Brunei,2019,Female,65-74 years,0
Brunei,2019,Female,75-84 years,0
Brunei,2019,Female,85+ years,0
Brunei,2019,Male,15-19 years,0
Brunei,2019,Male,15-24 years,0
Brunei,2019,Male,55-64 years,0
Brunei,2019,Male,65-74 years,0
Costa Rica,2019,Female,75-84 years,0
Costa Rica,2019,Female,85+ years,0
Cyprus,2019,Female,15-19 years,0
Grenada,2019,Both sexes,15-19 years,0
Grenada,2019,Both sexes,15-24 years,0
Grenada,2019,Both sexes,15-29  years,0
Grenada,2019,Both sexes,25-34 years,0
Grenada,2019,Both sexes,30-49 years,0
Grenada,2019,Both sexes,35-44 years,0
Grenada,2019,Both sexes,45-54 years,0
Grenada,2019,Both sexes,55-64 years,0
Grenada,2019,Both sexes,75-84 years,0
Grenada,2019,Both sexes,85+ years,0
Grenada,2019,Female,15-19 years,0
Grenada,2019,Female,15-24 years,0
Grenada,2019,Female,15-29  years,0
Grenada,2019,Female,25-34 years,0
Grenada,2019,Female,30-49 years,0
Grenada,2019,Female,35-44 years,0
Grenada,2019,Female,45-54 years,0
Grenada,2019,Female,55-64 years,0
Grenada,2019,Female,65-74 years,0
Grenada,2019,Female,75-84 years,0
Grenada,2019,Female,85+ years,0
Grenada,2019,Male,15-19 years,0
Grenada,2019,Male,15-24 years,0
Grenada,2019,Male,15-29  years,0
Grenada,2019,Male,25-34 years,0
Grenada,2019,Male,30-49 years,0
Grenada,2019,Male,35-44 years,0
Grenada,2019,Male,45-54 years,0
Grenada,2019,Male,55-64 years,0
Grenada,2019,Male,75-84 years,0
Grenada,2019,Male,85+ years,0
Guyana,2019,Female,85+ years,0
Iceland,2019,Both sexes,75-84 years,0
Iceland,2019,Both sexes,85+ years,0
Iceland,2019,Female,25-34 years,0
Iceland,2019,Female,35-44 years,0
Iceland,2019,Female,75-84 years,0
Iceland,2019,Female,85+ years,0
Iceland,2019,Male,75-84 years,0
Iceland,2019,Male,85+ years,0
Malta,2019,Female,85+ years,0
Mauritius,2019,Female,75-84 years,0
Mauritius,2019,Female,85+ years,0
Saint Vincent and the Grenadines,2019,Both sexes,15-19 years,0
Saint Vincent and the Grenadines,2019,Both sexes,45-54 years,0
Saint Vincent and the Grenadines,2019,Both sexes,55-64 years,0
Saint Vincent and the Grenadines,2019,Both sexes,65-74 years,0
Saint Vincent and the Grenadines,2019,Both sexes,85+ years,0
